ID_Pessoa,Idade,Renda,Tipo_de_Residência,Tempo_de_trabalho,ID_Emprestimo,Intenção_do_emprestimo,Grau_emprestimo,Quantidade_emprestimo,Taxa_juros,Estado_emprestimo,Renda_percentual,ID_historico,inadimplencia,tempo_historico_de_credito
BYmg43Fi-Mvaj,21,40000,Aluguel,3,i536G5cd-egh3,Educação,D,7000,14.46,0,0.17,M2sgMabi-q39B,N,3
Q8YyEomw-wqUf,31,95000,Hipotecada,1,P3bkWQYA-ePum,"Quitação de dividas",B,25000,10.08,0,0.26,DJ6T4YiD-Uv65,N,6
LmwskARR-HyA3,21,41900,Aluguel,2,0YpSbTgj-CZKT,Investimento,C,16000,12.84,1,0.38,j3jnnG3T-iF3N,Y,2
c1fAx8Uh-fk6h,24,60000,Hipotecada,8,sx6PRAzY-Tznx,Investimento,A,2800,9.32,0,0.05,EPRoZdfe-jiw5,N,4
xpxcSWRB-FrAX,33,25200,Aluguel,3,b9bBNfOj-LJxL,Médico,E,1600,16.69,1,0.06,ouTxkFeA-7vLK,N,6
FAtQtTri-eraY,27,16800,Aluguel,3,BH8WdzBF-25wh,"Quitação de dividas",B,6500,11.99,1,0.39,gze4W38H-fH69,N,8
EKLnOGSs-hIWR,28,39000,Aluguel,6,oNzURt6u-FEpT,Médico,D,10000,14.96,1,0.26,AD4iUJjM-eaSJ,N,6
rab9Ff8j-XYqI,23,60000,Aluguel,0,njPidLt8-wjG5,Investimento,A,8400,7.49,0,0.14,e4sGSB0W-WsLj,N,3
06Nv331q-J1jv,51,667680,Hipotecada,19,bkdkrF7O-1gSm,Pessoal,C,10000,13.98,0,0.01,7TRruLfp-QSy1,Y,22
Q7uCKXLv-KIzS,35,20000,Aluguel,0,1OJN1gLu-NODk,Educação,D,8500,15.05,1,0.42,Q7q9ycyb-xWEE,Y,10
WwXrx0nj-UG9n,33,56312,Aluguel,2,U8fDpRKQ-1ejj,"Melhoramento do lar",B,3000,11.71,0,0.05,Jj0uWkj8-Esq5,N,9
zAGYhdqJ-pD7D,30,43000,Aluguel,1,4cXZj28b-TIKj,Médico,A,3200,8,0,0.07,4pfUPfsE-8Ltp,N,5
oFC1XDv6-abaY,36,46000,Hipotecada,3,6Kdj1wpX-Ov7J,Investimento,A,8000,5.42,0,0.17,eyITxeQ1-eBt5,N,15
OhiALUZ7-cF0e,35,36000,Aluguel,1,oSdFgFhL-SCCJ,Investimento,C,5600,13.06,0,0.16,xMZm9bDn-zLwH,N,7
DYDPEUcQ-PhL3,26,25000,Hipotecada,10,wnKi7Ak3-0kBG,Médico,A,7000,6.99,0,0.28,KQ3snuO3-IdWs,N,2
GvDhikwP-hbP2,30,148000,Aluguel,8,AR6gBQSg-QGCE,Investimento,D,10000,13.55,0,0.07,6oY5oako-UAve,N,9
nOCHCG3B-oirj,37,6000,Própria,3,I9iO5CpP-BLfZ,Investimento,A,1300,6.03,1,0.22,bAAi9tQ0-jCMx,N,11
XGrCoDSO-o1xh,22,41000,Aluguel,2,Xf5yXYgw-c8Dj,"Quitação de dividas",D,3600,16.77,1,0.09,wnkIY26E-YjPD,Y,3
YkqeZw2c-ZWXg,26,60000,Hipotecada,10,4oX9UjXc-KXTr,Médico,A,12500,6.92,0,0.21,54qHzlW2-9Hcy,N,3
jDvErxLD-zcXr,32,35000,Hipotecada,2,TD26zpcY-wnpf,Pessoal,C,6075,13.49,0,0.17,oG1c9uM9-Ydlo,N,9
F2MQHMlC-v52y,24,37000,Hipotecada,8,OBMhGBJX-UvUf,Investimento,B,10000,10.99,0,0.27,d37UI3QX-XBO7,N,4
ji3fFcUX-uC4L,23,24000,Própria,0,mwNA5RSD-MeZN,Educação,A,7000,7.14,0,0.29,D8n27kWQ-M1uS,N,3
JAoxCRH2-AXOj,26,80730,Hipotecada,7,aky6Hkyu-TT9F,"Melhoramento do lar",A,9600,7.29,0,0.12,3DrcrbeW-I0ra,N,2
PGY9PM7y-SqoL,26,45243,Aluguel,3,bm0jYjYm-jywv,Investimento,B,4800,9.25,0,0.11,Dklqe120-xuMl,N,2
2oP16JhG-F8XW,22,66000,Própria,6,63e82hHt-teRu,Educação,A,5000,7.9,0,0.08,FQdHlns2-0FWk,N,4
Ng2UrYPJ-wR4Y,23,28000,Aluguel,5,r0mQH7vv-PX8N,Pessoal,B,6000,9.63,0,0.21,QDEqf3zL-ArhU,N,4
n5wjd1pM-l0RX,35,53500,Hipotecada,1,RLqQTAzP-zpFY,Investimento,C,20000,12.53,0,0.37,7fkEuSxa-4cQD,Y,7
lkmbC2Qr-1Nqb,31,24000,Aluguel,3,JqJmAI7a-Zo6Q,Educação,A,6000,8.49,0,0.25,3egeG21L-fj0U,N,5
AN0Tv8Sl-Jdw9,24,9600,Aluguel,3,K35HQxvr-EgfQ,Educação,C,1300,12.73,1,0.14,050HN82m-mgF4,N,2
wW7M1ehu-4Pcf,23,29000,Aluguel,0,OdCUgCqo-1FdY,Educação,E,10000,17.93,1,0.34,AAIm3i82-U7GE,Y,3
u3aAcuGQ-WenL,27,36000,Aluguel,2,3vzZKm36-aHv6,Médico,B,2000,11.99,0,0.06,UpHIupDO-Z3Ra,N,8
5ob1DOnS-rjWR,33,68508,Aluguel,17,SqzgaqCx-GdnW,Médico,A,7000,8,0,0.1,8JywOAJx-Jshv,N,6
pOiseZcH-9Fk0,21,45192,Hipotecada,0,G0hUayxs-FJjj,Pessoal,B,11700,10.74,0,0.26,3tcoPzMf-v8ma,N,2
L0lBrO45-rdMJ,23,91000,Hipotecada,0,7e6YhDyi-lW2T,Educação,B,1000,11.71,0,0.01,YauSEsui-pqb2,N,3
1ocpbjSJ-z6di,31,135000,Hipotecada,12,fO7Hnf3c-rglN,Educação,C,15000,13.85,0,0.11,j1isnOuI-vt4H,Y,9
YtYvr4Cj-bxpq,30,232050,Hipotecada,14,0lmyftrm-4bcR,Médico,E,25000,17.93,1,0.09,SDXBWm4G-EPIP,Y,9
OUEtPkTc-vXcy,23,30000,Aluguel,3,NAKFoNIk-NYBx,Pessoal,A,3600,5.99,0,0.12,EUBokKrE-dXz0,N,2
hcprAQia-UJAm,27,27900,Aluguel,3,nZmM63pY-c1TA,Médico,A,10625,7.9,1,0.38,WJXoIspR-1u1w,N,5
BQh2UH1M-eKJD,34,78000,Aluguel,9,mlml1vB6-HnK2,"Quitação de dividas",E,15000,16.4,1,0.19,hQ9qTMoa-lxwp,N,5
5AnyFimd-amEm,29,30000,Aluguel,3,NGUD7g9a-5aqy,Médico,B,5000,11.49,0,0.17,W7X2IPZU-neOY,N,9
fouL80A0-GSbF,28,39000,Aluguel,6,ozHrj2lo-1sBq,Médico,D,8000,14.91,1,0.21,MbRLoU9m-0E32,Y,7
5UAjPi9w-19sy,31,39420,Aluguel,0,zfm7vp4G-GXDj,Médico,C,2500,15.27,0,0.06,wdYxBxOo-rstP,Y,8
Q6Ky6UtP-7hjb,30,67000,Hipotecada,6,arAp8q1t-Ki9W,"Melhoramento do lar",A,10000,6.99,0,0.15,PIbtCvUw-qf3K,N,6
IGJnHlh5-RW15,58,68000,Hipotecada,1,cCWKWkrU-4oQC,Pessoal,B,8000,10.99,0,0.12,eYw3xdOj-cPAp,N,29
fuUiDvEh-F16S,23,40000,Aluguel,0,EJmOuEUR-J7by,Investimento,A,15000,8.94,1,0.38,D9QpeJEQ-Irkg,N,4
U0eGnXDk-u0cW,25,98000,Hipotecada,9,ZmSNbzAI-kmeC,"Melhoramento do lar",E,25000,16.45,1,0.26,eY3wIzbG-vGcK,N,4
Yu00cQ2k-H4hd,21,21700,Aluguel,2,TrBcx2Ww-zgXl,"Melhoramento do lar",D,5500,14.91,1,0.25,xDklu0NA-P5pb,N,2
ZMj3GDRA-d7ZD,34,54000,Hipotecada,5,omOXcYql-IW7h,Investimento,A,10000,7.29,0,0.19,oh3NlbzZ-4KTQ,N,7
yfSpCdRS-4CPq,29,60000,Aluguel,0,27dlUgzG-kNy1,"Melhoramento do lar",A,4000,7.88,0,0.07,BP5OcZMW-FXEL,N,6
qDeyTYs1-baNz,25,50000,Aluguel,0,OGSU5oJz-B4De,"Melhoramento do lar",B,6400,9.91,0,0.13,HtcIjFIo-tSbK,N,4
uRNis7rO-QvQS,29,60000,Hipotecada,7,tBPcdDSD-M18e,Investimento,A,5000,7.66,0,0.08,UWJzkh6T-wIqh,N,10
dNUifRil-8ffP,33,153000,Hipotecada,1,0TwdYJbs-pz5l,"Melhoramento do lar",D,23100,14.74,1,0.15,ehyvgD41-Ow6k,Y,9
EbXNaHjr-97B2,24,40000,Aluguel,6,WspelbI1-Mar9,Médico,A,5000,6.17,0,0.13,RTSIOCqe-k2yz,N,3
3nRhlR8i-oOAS,52,25000,Aluguel,23,Hxa2IflD-IM3I,Médico,D,5000,12.61,1,0.2,7UlWWDkw-NBig,Y,22
wIpK7Gev-GmYY,27,97000,Hipotecada,11,ISoB48er-MIWu,Pessoal,B,3600,9.25,0,0.04,TSHZjj7P-LRvz,N,7
yYFHGWKS-2el6,22,45000,Aluguel,3,m7NH5fyU-ciQa,Médico,A,5800,7.88,0,0.13,dwuGjAyP-cd2C,N,3
H3iPrkPx-YLN1,22,63800,Hipotecada,7,SFDhlddW-OrGb,"Quitação de dividas",B,25000,11.36,0,0.39,jn0fXPsl-PlvQ,N,4
1X7oBeHa-RPKt,24,24000,Aluguel,2,Ia1nka9l-6fM2,Educação,D,3500,15.65,1,0.15,kdMrHFPG-cJ0w,Y,4
wMaPDqtY-cMTB,26,96000,Aluguel,2,8b67trl0-OmcG,"Melhoramento do lar",A,1750,6.54,0,0.02,uaQNg57i-GpaK,N,2
9FDLodgY-Lpzf,23,60000,Própria,2,H9LosMN1-QPaH,Médico,D,18500,15.33,0,0.31,87qA8hsK-BDXZ,N,2
zkt51GgD-xc3p,24,88000,Aluguel,0,syD8Yswd-QYXa,"Melhoramento do lar",B,14000,9.99,0,0.16,ERE1cQhm-Aej6,N,3
hkbri4rs-RpGC,26,70000,Hipotecada,0,RRWiOgZZ-fYSH,Educação,A,7000,7.88,0,0.1,B7WrW1dD-3rIL,N,4
KQ3KlXJd-Z1e2,32,73000,Hipotecada,7,9f45oO89-3PrT,Pessoal,C,4750,13.11,1,0.07,2oy4h5yt-GLzB,Y,9
IkLfOAsN-7aLs,25,42000,Aluguel,2,DX2CbLdW-ZGAe,Educação,A,3150,5.79,0,0.07,ZxTaW5XR-7AzU,N,4
RXHO20XK-84oy,25,27600,Aluguel,2,Ymf4ftlw-AQtB,Médico,B,7000,9.76,0,0.25,i04ElEjn-YrOf,N,4
01Ih63oD-gO7p,24,75000,Aluguel,6,FrMoEnPL-XivD,Pessoal,B,15000,11.71,0,0.2,YK0cuXUQ-Udaf,N,4
KPTJXQoI-j38c,26,110000,Hipotecada,0,aP5pfzqg-xor5,Investimento,A,15600,6.17,0,0.14,CnOlecuH-MCjx,N,4
tbH6LWOU-T50M,34,84000,Aluguel,3,tXPHY11i-ixNO,Educação,A,9000,5.79,0,0.11,Gu5I5LQE-MkND,N,10
Hds7B4Mo-233B,24,80000,Aluguel,5,Zq8xAYco-iZXA,Investimento,B,10000,11.14,0,0.13,p0YYjhhN-UeAT,N,4
leY8KPZw-TsHO,29,72000,Hipotecada,12,nng9l2wQ-TPWG,"Quitação de dividas",D,12000,15.62,1,0.17,K8OtxOLZ-ORMN,Y,9
oArD4oX7-F4ZW,23,25200,Aluguel,7,fARXrroz-2fp0,Educação,B,7200,11.86,1,0.29,M4jwbCR2-S0RQ,N,4
2qL2TpcA-3UO0,26,108000,Hipotecada,4,LoQ6fSUb-Oz9B,Pessoal,A,9000,5.79,0,0.08,yyxAqFSr-rcKu,N,2
Joezq1nK-2tgU,28,77544,Hipotecada,2,iFX2O6WD-WpWs,Pessoal,E,15000,16.63,0,0.19,pGvzqlN4-IT6G,Y,5
7kUGsKeu-zrjw,33,90000,Hipotecada,4,EZKJr4PM-wtPy,"Quitação de dividas",C,12000,12.98,0,0.13,KU4fDep5-8RaH,N,6
NiuaKa9Y-w0Hs,28,61500,Aluguel,1,1iPuEryI-dSA1,"Melhoramento do lar",B,4000,10.95,0,0.07,bCnFP2Ux-4XLZ,N,8
LLjwntfQ-c44w,25,112000,Aluguel,7,MX5tKFZx-w71A,"Quitação de dividas",B,5000,10.25,0,0.04,RbbigFod-syks,N,3
guFdcytZ-qpxP,29,33996,Aluguel,11,RYDNSh6F-uKnJ,Educação,C,4000,13.47,1,0.12,YUSJvJ6Z-Z1dH,N,7
yBfoLC8z-GQDo,23,48000,Aluguel,3,oDearF6M-xmwb,"Quitação de dividas",A,8000,8.49,0,0.17,nvBm4Q9J-i1iu,N,2
TenczLdH-GbAY,21,24996,Aluguel,2,X75IPvzb-zEnl,Educação,E,5000,16.45,1,0.2,wHtKRCa0-NR75,N,4
UyxgKQG2-AoJs,22,50000,Aluguel,6,kn0qtQzy-j1km,Educação,A,15000,6.03,0,0.3,EWghThcn-xI6Y,N,2
DqSErXLN-oOdj,33,15500,Aluguel,1,CAzxipzI-nRDW,Médico,A,3000,7.51,1,0.19,QvObzTaI-X1ZG,N,5
CGr8LFPX-mxsF,29,48000,Aluguel,1,QnYsidO9-QwXr,Médico,A,8800,8.49,0,0.18,ifl4LsqP-5tir,N,9
bBQ5Z3rA-gKO8,49,70872,Hipotecada,4,GAHXYPMA-LS0k,"Quitação de dividas",D,15000,14.84,1,0.21,NkOhYI4T-FjWf,N,11
AplH4Lwm-gyYK,25,90000,Hipotecada,7,H7WZlXS5-Rjyu,"Quitação de dividas",A,6000,7.14,0,0.07,rZoiEpPc-bciv,N,3
qOcqMw7e-cSEm,24,60000,Aluguel,8,KZ88A61W-pFpI,Pessoal,D,20000,13.87,1,0.33,uDYkqUoH-hRNe,N,4
mvkJyvGc-yYuw,22,54000,Aluguel,4,h0oDhLmM-OrEm,"Quitação de dividas",C,9000,15.96,0,0.17,IKk1KTWI-y4IG,Y,3
D2p02PXU-CNuP,25,35500,Aluguel,5,EyDonijD-HEiN,Médico,B,4000,10.99,0,0.11,gwAHt9Jd-Tza6,N,3
dlUWseIw-3E6Q,29,92250,Aluguel,2,5YG4x7QJ-GMeb,Médico,B,13000,10.99,0,0.14,6Fj8vXlH-elw6,N,9
LTD2XdcS-ZCv4,24,65000,Hipotecada,6,ob9Yrlfi-Ocpc,Pessoal,B,11000,11.49,0,0.17,iBDB52Wo-4WAb,N,2
HNN6Grnl-fknG,24,75000,Hipotecada,9,NuXchJo0-2dX5,"Melhoramento do lar",A,11500,5.42,0,0.15,qBFrloUA-XKUB,N,2
y4pEWYBn-9PvH,22,72000,Própria,1,2ZiNj6wr-h4jF,Investimento,B,15000,10.25,0,0.21,6PQh0Hls-oRmz,N,4
veRNJgmL-xCSy,24,60000,Própria,9,FbzhMvqY-Z4Wj,"Melhoramento do lar",B,15000,11.83,0,0.25,pUFPe05Z-xXr7,N,3
uYsLkgLc-OwH6,41,55000,Aluguel,9,2Wht0eH9-fbh7,"Quitação de dividas",B,12000,12.53,0,0.22,piKhYvXC-6Nw7,N,15
fxooxxAu-CqDE,34,47818,Aluguel,9,t08n6DGE-DQFJ,Médico,A,6800,6.92,0,0.14,HCq3BaR3-I6BZ,N,9
QbDjdC0d-K9os,24,70000,Hipotecada,9,q8JDBA2h-xJBS,"Quitação de dividas",B,12000,11.36,0,0.17,eYAAbrxl-QUdH,N,4
w3IPOuJk-kZCD,26,36996,Aluguel,8,YbHR0abC-5BuX,Pessoal,C,9600,11.97,0,0.26,8flcEvDn-5FMq,Y,4
GbljOUTf-748w,25,144996,Hipotecada,2,eK9NrLmg-zrOZ,Educação,E,25000,16.35,0,0.17,5vdXvPeT-FtiH,Y,2
RKAi5Bpd-A2hG,36,45600,Hipotecada,6,xCzzcOkC-USuW,Médico,C,10000,13.49,0,0.22,uADkJvTT-nGkW,N,16
vbwEfJTD-LdID,35,52000,Aluguel,2,6ABpkht2-SdCN,Médico,B,3000,11.48,0,0.06,CE0NeKdg-IICE,N,7
iHar8HN7-1YkN,21,45000,Aluguel,3,XqGa4BKn-WWe1,Pessoal,A,7200,9.38,0,0.16,Sfj6mx0T-ixdS,N,4
Xscm9orN-IguH,25,86000,Hipotecada,3,RGuIhqu4-E2ie,Educação,A,8000,7.29,0,0.09,Y1os55OK-cqHH,N,2
4r0gkvs0-1A9y,26,85000,Hipotecada,8,mj1m2ex4-dikh,Médico,A,15000,7.88,0,0.18,kQnkKSED-jJkb,N,4
1Y8Ek92d-n4Il,23,66912,Hipotecada,7,giSkG8vR-qaxi,Pessoal,C,16000,12.73,0,0.24,EiCh2wTH-uRs0,N,3
bRYeof0L-cqHI,30,100000,Aluguel,13,0T2YFLWb-IZze,"Quitação de dividas",A,12000,7.88,0,0.12,0Y1a64ag-4RLW,N,9
BhJ6Hi7u-hQSR,30,60000,Aluguel,4,I3F20UdJ-MmRz,Pessoal,B,12000,10.99,0,0.2,zyvFQhMY-yK0c,N,10
xLNpUoQD-ceDf,24,32004,Hipotecada,5,PHNEjRXh-yxgE,Investimento,C,14000,12.73,0,0.44,TtHJGkId-mFko,N,4
8OfZ06xM-pjmi,36,37000,Hipotecada,5,ohMpzXOX-JNbR,Médico,E,3000,18.39,1,0.08,8FSX192n-7XWb,Y,15
rgHUJv2L-6UqX,21,45000,Aluguel,3,Dvfl8eFj-9O2N,Médico,B,9600,12.18,0,0.21,ElwCZI3i-Zedp,N,3
s75pWmDa-xzk8,24,56000,Hipotecada,2,rUuBZnop-TJ2p,Educação,C,5250,12.87,0,0.09,gePvbdiY-2COW,N,2
r7gg0Ukx-SkjG,25,60000,Hipotecada,6,kWJLMt5l-AoyM,Investimento,D,8400,16.89,0,0.14,3K230qMt-1qjk,N,3
SlAQbthu-QeUh,27,85000,Hipotecada,9,X67pnsaD-cDua,Médico,B,24000,11.71,0,0.28,QnzzY9Jz-8QYo,N,10
mbqsZswZ-tAlH,37,117000,Hipotecada,3,DiF4TOvO-pJ6m,Pessoal,A,10000,8.94,0,0.09,gK4X6Np8-Y9xI,N,11
e22stIqq-r39Y,26,300000,Hipotecada,0,4kKSTxj8-nCTz,Educação,D,25000,15.33,0,0.08,hvnQD5Mv-PkfP,N,3
NtTgThjI-cGag,35,24000,Hipotecada,14,UKiWbOIQ-8sLd,"Quitação de dividas",A,4000,7.49,0,0.17,S3j7psOE-M0u5,N,7
uZlF4dqv-hY7d,25,29000,Aluguel,5,eipmYDTU-Folk,Investimento,A,10000,7.49,1,0.34,XlTG9BxQ-sRYG,N,2
WAwUiLik-5mQX,23,92000,Hipotecada,7,2eq63G7B-PFeX,Pessoal,B,15000,11.26,0,0.16,COvG0Egu-QN1J,N,2
7aIcoNSW-R7PF,23,87000,Hipotecada,7,KzXESYh2-FHIC,Médico,A,17000,7.51,0,0.2,Kd4HOeC7-5PLk,N,3
tsIjFW3T-MUyb,38,55000,Aluguel,0,l3ysMnrx-uPM8,Educação,C,6500,11.03,0,0.12,fArusKjy-hLc7,Y,12
nXxFkiUx-aSFn,35,52500,Aluguel,3,Ik8zn1vH-b4wP,"Melhoramento do lar",B,12000,10.36,0,0.23,B8XklpzX-EbAJ,N,8
qlAkDktn-BX8O,23,74000,Própria,7,jj2ZzYmz-Gdq0,Pessoal,D,15000,15.99,0,0.2,sy4FTN1i-OEaw,Y,4
6hopmeuD-w3Ke,29,120000,Própria,10,HhFnhAe2-XIcw,Pessoal,B,18000,11.49,0,0.15,nOHQ895X-clrs,N,10
cTDz17U9-opsU,38,48000,Hipotecada,23,I2apZ8Lj-bzS9,Médico,D,9000,15.21,1,0.19,nXUKnwZO-T6qG,Y,15
Xh97SmmR-T8tM,24,54500,Hipotecada,7,DXyOidv7-gdbk,Médico,D,8000,17.49,1,0.15,eHQDoQMi-dat8,N,4
HfSoxpR2-BpGS,22,51000,Aluguel,6,upPqHIaA-c8sB,Educação,A,7500,5.99,0,0.15,EFghUSJv-nj0e,N,3
Ke9GAsjD-4ICN,33,59000,Aluguel,17,OXFo4pfx-G9Rd,Médico,B,9600,9.91,0,0.16,p25AZZxp-C9Dd,N,8
5fi1GWSO-oQcb,144,200000,Hipotecada,4,TmOA2QC6-xk2y,Educação,B,6000,11.86,0,0.03,171BCjoL-pNcN,N,2
zjfoYKKD-w0MI,24,88000,Hipotecada,2,bkkFivp2-MCQn,Pessoal,A,8000,5.99,0,0.09,qKflXH8K-hwKH,N,4
